2020-07-12 11:29:21.132 forest [main] INFO  w.l1n.platform.PlatformApplication - Starting PlatformApplication on Pluto with PID 4320 (E:\code\project\school-platform\platform-java\target\classes started by l1nker4 in E:\code\project\school-platform\platform-java)
2020-07-12 11:29:21.136 forest [main] INFO  w.l1n.platform.PlatformApplication - No active profile set, falling back to default profiles: default
2020-07-12 11:29:22.471 forest [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-07-12 11:29:22.473 forest [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-07-12 11:29:22.511 forest [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 25ms. Found 0 Redis repository interfaces.
2020-07-12 11:29:22.848 forest [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-07-12 11:29:22.980 forest [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'shiroConfig' of type [wang.l1n.platform.common.authentication.ShiroConfig$$EnhancerBySpringCGLIB$$f4aa3e93] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-07-12 11:29:23.786 forest [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisConfig' of type [wang.l1n.platform.common.config.RedisConfig$$EnhancerBySpringCGLIB$$44db96e7] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-07-12 11:29:23.809 forest [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisPoolFactory' of type [redis.clients.jedis.JedisPool] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-07-12 11:29:23.812 forest [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisService' of type [wang.l1n.platform.common.service.impl.RedisServiceImpl] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-07-12 11:29:23.854 forest [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2020-07-12 11:29:23.928 forest [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'shiroConfig' of type [wang.l1n.platform.common.authentication.ShiroConfig$$EnhancerBySpringCGLIB$$f4aa3e93] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-07-12 11:30:00.648 forest [main] INFO  w.l1n.platform.PlatformApplication - Starting PlatformApplication on Pluto with PID 15232 (E:\code\project\school-platform\platform-java\target\classes started by l1nker4 in E:\code\project\school-platform\platform-java)
2020-07-12 11:30:00.652 forest [main] INFO  w.l1n.platform.PlatformApplication - No active profile set, falling back to default profiles: default
2020-07-12 11:30:01.873 forest [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-07-12 11:30:01.875 forest [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-07-12 11:30:01.917 forest [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 28ms. Found 0 Redis repository interfaces.
2020-07-12 11:30:02.268 forest [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-07-12 11:30:02.378 forest [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'shiroConfig' of type [wang.l1n.platform.common.authentication.ShiroConfig$$EnhancerBySpringCGLIB$$469599a3] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
